"","คณะ/สาขาวิชา","","กรุณาเลือกมหาวิทยาลัย"
"0039","คณะครุศาสตร์ เลือกสอบวิชาสังคมศึกษา 2 (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0040","คณะครุศาสตร์ เลือกสอบวิชาคณิตศาสตร์ 2 (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0041","คณะครุศาสตร์ เลือกสอบวิชาภาษาฝรั่งเศส (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0042","คณะครุศาสตร์ เลือกสอบวิชาภาษาเยอรมัน (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0043","คณะครุศาสตร์ เลือกสอบวิชาภาษาจีน (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0044","คณะครุศาสตร์ เลือกสอบวิชาภาษาญี่ปุ่น (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0045","คณะครุศาสตร์ สาขาวิชาการศึกษาปฐมวัย (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0046","คณะครุศาสตร์ สาขาวิชาการศึกษาปฐมวัย (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0047","คณะครุศาสตร์ สาขาวิชาศิลปศึกษาเลือกสอบวิชาคณิตศาสตร์ 2 (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0048","คณะครุศาสตร์ สาขาวิชาศิลปศึกษา เลือกสอบวิชาวิทยาศาสตร์ 2 (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0049","คณะครุศาสตร์ สาขาวิชาศิลปศึกษาเลือกสอบวิชาภาษาไทย 2 (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0050","คณะครุศาสตร์ สาขาวิชาศิลปศึกษาเลือกสอบวิชาภาษาอังกฤษ 2 (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0051","คณะครุศาสตร์ สาขาวิชาศิลปศึกษาเลือกสอบวิชาภาษาฝรั่งเศส (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0052","คณะครุศาสตร์ สาขาวิชาศิลปศึกษาเลือกสอบวิชาภาษาเยอรมัน (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0053","คณะครุศาสตร์ สาขาวิชาศิลปศึกษาเลือกสอบวิชาภาษาจีน (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
