รหัส,คณะ/สาขา,มหาวิทยาลัย,สมัคร,รับ,ผ่าน,สูงสุด,ต่ำสุด,เฉลี่ย,SD
0036,คณะจิตวิทยา (รูปแบบที่ 2),จุฬาลงกรณ์มหาวิทยาลัย,328,50,50,"22,441.9500","20,098.8000","20,750.6700",596.9981
0037,คณะจิตวิทยา (รูปแบบที่ 3),จุฬาลงกรณ์มหาวิทยาลัย,277,50,50,"26,968.2000","22,906.9500","23,628.4200",815.3702
0038,คณะครุศาสตร์ สาขาวิชาการศึกษาปฐมวัย (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,442,30,30,"21,868.2000","20,355.1500","20,730.9850",306.1744
0039,คณะครุศาสตร์ สาขาวิชาประถมศึกษา (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,447,25,25,"22,695.2500","20,900.7500","21,398.7760",448.9984
0040,คณะครุศาสตร์ สาขาวิชาธุรกิจศึกษา (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,251,20,20,"22,182.1500","20,524.8000","20,967.0700",446.9490
0041,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาคณิตศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,404,100,7,"25,237.2500","19,300.2500","20,597.8714","2,081.5751"
0042,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาวิทยาศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,918,0,93,"21,685.1500","19,254.6000","19,779.6285",474.6727
0043,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาฝรั่งเศส,จุฬาลงกรณ์มหาวิทยาลัย,146,75,21,"20,556.2500","18,329.6000","19,109.2071",683.6601
0044,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาเยอรมัน,จุฬาลงกรณ์มหาวิทยาลัย,44,0,9,"20,442.1500","18,266.9500","18,881.3056",675.2011
0045,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาญี่ปุ่น,จุฬาลงกรณ์มหาวิทยาลัย,93,0,11,"21,580.7000","18,506.9500","19,394.4273",787.6527
0046,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาจีน,จุฬาลงกรณ์มหาวิทยาลัย,199,0,9,"19,695.3000","18,202.1000","18,809.2944",532.1006
0047,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาอาหรับ,จุฬาลงกรณ์มหาวิทยาลัย,27,0,2,"19,338.2000","18,393.1000","18,865.6500",668.2866
0048,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาบาลี,จุฬาลงกรณ์มหาวิทยาลัย,143,0,23,"21,532.1500","18,239.0000","19,031.7761",721.7288
0049,คณะอักษรศาสตร์ สาขาวิชาภูมิศาสตร์ พื้นฐานวิทยาศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,59,25,25,"20,825.7000","16,989.5500","18,749.5360","1,069.9020"
0050,คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์ พื้นฐานวิทยาศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,298,65,65,"24,134.4500","20,074.9500","21,045.6369",848.1365
0051,คณะรัฐศาสตร์ สาขาวิชาการปกครอง พื้นฐานศิลปศาสตร์ (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,445,68,68,"28,287.4500","22,826.2500","23,527.9007",710.8340
0052,คณะรัฐศาสตร์ สาขาวิชาสังคมวิทยาและมานุษยวิทยา พื้นฐานศิลปศาสตร์ (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,400,68,68,"24,452.9500","22,693.1500","23,224.8816",428.3708
0053,คณะรัฐศาสตร์ สาขาวิชาความสัมพันธ์ระหว่างประเทศ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,328,63,63,"26,579.8500","24,224.0500","24,926.1690",536.0934
0054,คณะรัฐศาสตร์ สาขาวิชารัฐประศาสนศาสตร์ พื้นฐานวิทยาศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,105,65,65,"20,480.5000","12,813.3000","17,850.9092","1,710.1298"
0055,คณะนิติศาสตร์ พื้นฐานวิทยาศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,271,120,120,"24,181.2000","17,771.9500","19,892.7250","1,175.4671"
0056,คณะนิติศาสตร์ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาฝรั่งเศส,จุฬาลงกรณ์มหาวิทยาลัย,120,22,22,"24,607.7000","21,207.8000","22,344.0909",952.7938
0057,คณะนิติศาสตร์ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาเยอรมัน,จุฬาลงกรณ์มหาวิทยาลัย,49,10,10,"24,295.6500","20,870.6000","22,555.4150","1,282.6748"
0058,คณะนิติศาสตร์ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาญี่ปุ่น,จุฬาลงกรณ์มหาวิทยาลัย,52,22,22,"23,503.4000","18,611.2500","20,346.3068","1,115.4964"
0059,คณะนิติศาสตร์ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาจีน,จุฬาลงกรณ์มหาวิทยาลัย,80,26,26,"22,371.9500","19,253.2000","20,232.6712",813.4916
0060,คณะนิเทศศาสตร์ พื้นฐานวิทยาศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,246,40,40,"22,553.6500","19,944.4500","20,812.1725",676.1425
0061,คณะนิเทศศาสตร์ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,673,40,40,"26,717.8500","24,898.8500","25,515.4538",425.5477
0062,คณะนิเทศศาสตร์ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาฝรั่งเศส,จุฬาลงกรณ์มหาวิทยาลัย,113,80,33,"24,699.6500","21,016.1500","22,310.2197","1,041.4975"
0063,คณะนิเทศศาสตร์ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาเยอรมัน,จุฬาลงกรณ์มหาวิทยาลัย,37,0,9,"24,560.7000","21,044.1000","22,992.7389","1,415.3998"
0064,คณะนิเทศศาสตร์ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาญี่ปุ่น,จุฬาลงกรณ์มหาวิทยาลัย,80,0,29,"27,019.4500","21,018.6000","22,483.5069","1,329.8391"
0065,คณะนิเทศศาสตร์ พื้นฐานศิลปศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาจีน,จุฬาลงกรณ์มหาวิทยาลัย,77,0,9,"24,699.7500","21,051.8000","22,070.2556","1,056.3514"
0066,คณะเกษตร สาขาวิชาวิทยาศาสตร์เกษตร วิทยาเขตบางเขน,มหาวิทยาลัยเกษตรศาสตร์,406,140,140,"16,252.5000","12,358.9000","13,594.8261",870.4736
0067,คณะเกษตร สาขาวิชาการจัดการศัตรูพืชและสัตว์ วิทยาเขตบางเขน,มหาวิทยาลัยเกษตรศาสตร์,39,30,15,"14,253.8500","9,110.1500","11,723.0100","1,370.2615"
0068,คณะเกษตร สาขาวิชาเคมีการเกษตร วิทยาเขตบางเขน,มหาวิทยาลัยเกษตรศาสตร์,61,30,30,"15,682.5000","9,890.1000","13,092.2650","1,675.1417"
0069,คณะเกษตร สาขาวิชาคหกรรมศาสตร์ วิทยาเขตบางเขน,มหาวิทยาลัยเกษตรศาสตร์,151,45,45,"15,739.6500","12,321.2500","13,501.8444",920.3211
0070,คณะเกษตร สาขาวิชาอาหารและโภชนาการ วิทยาเขตบางเขน,มหาวิทยาลัยเกษตรศาสตร์,151,30,30,"17,372.4000","13,990.0000","15,348.1417",976.2160
0071,คณะเกษตร สาขาวิชาเกษตรเขตร้อน วิทยาเขตบางเขน,มหาวิทยาลัยเกษตรศาสตร์,282,20,20,"14,992.5000","13,430.1000","13,903.8550",426.8926
0072,คณะเกษตร สาขาวิชาเกษตรเขตร้อน นานาชาติ วิทยาเขตบางเขน,มหาวิทยาลัยเกษตรศาสตร์,77,25,25,"14,023.4000","12,361.2000","13,139.4080",478.5534
0073,คณะบริหารธุรกิจ สาขาวิชาการเงิน,มหาวิทยาลัยเกษตรศาสตร์,564,80,80,"20,520.3000","18,197.9500","18,635.1806",415.9395
0074,คณะบริหารธุรกิจ สาขาวิชาการจัดการ,มหาวิทยาลัยเกษตรศาสตร์,980,100,100,"19,271.0500","17,515.8000","18,076.3940",370.9191
0075,คณะบริหารธุรกิจ สาขาวิชาการจัดการการผลิต,มหาวิทยาลัยเกษตรศาสตร์,528,63,63,"19,685.0000","17,423.3000","17,734.7000",378.6962
0076,คณะบริหารธุรกิจ สาขาวิชาการตลาด,มหาวิทยาลัยเกษตรศาสตร์,625,90,90,"19,853.7500","17,941.9500","18,549.3472",434.0828
0077,คณะบริหารธุรกิจ สาขาวิชาบัญชี,มหาวิทยาลัยเกษตรศาสตร์,"1,263",160,160,"20,587.6000","19,143.8000","19,642.7150",363.8050
0078,คณะบริหารธุรกิจ สาขาวิชาบัญชี ภาคพิเศษ,มหาวิทยาลัยเกษตรศาสตร์,802,160,160,"19,134.7500","17,743.3000","18,332.3309",361.5706
0079,คณะประมง,มหาวิทยาลัยเกษตรศาสตร์,475,180,180,"16,363.4500","12,370.5500","13,622.3281",891.9404
0080,คณะมนุษยศาสตร์ สาขาวิชาปรัชญาและศาสนา,มหาวิทยาลัยเกษตรศาสตร์,"1,223",25,25,"22,210.8000","19,804.9000","20,580.2680",684.4875
0081,คณะมนุษยศาสตร์ สาขาวิชาภาษาอังกฤษ,มหาวิทยาลัยเกษตรศาสตร์,612,40,40,"26,348.2000","22,933.7000","23,634.4300",611.7274
0082,คณะมนุษยศาสตร์ สาขาวิชาภาษาฝรั่งเศส,มหาวิทยาลัยเกษตรศาสตร์,119,25,19,"20,104.6500","13,775.8000","17,370.6763","1,342.8899"
0083,คณะมนุษยศาสตร์ สาขาวิชาภาษาเยอรมัน,มหาวิทยาลัยเกษตรศาสตร์,99,25,12,"20,913.9000","15,162.7500","17,863.3042","1,427.7248"
0084,คณะมนุษยศาสตร์ สาขาวิชาภาษาญี่ปุ่น,มหาวิทยาลัยเกษตรศาสตร์,177,25,24,"22,981.4500","15,579.9000","19,641.3375","1,739.2655"
0085,คณะมนุษยศาสตร์ สาขาวิชาภาษาจีน,มหาวิทยาลัยเกษตรศาสตร์,778,25,25,"21,157.1500","14,660.2500","17,305.5740","1,518.9866"
0086,คณะมนุษยศาสตร์ สาขาวิชาภาษาไทย,มหาวิทยาลัยเกษตรศาสตร์,398,60,60,"22,603.6500","20,101.0500","20,761.0467",509.3826
0087,คณะมนุษยศาสตร์ สาขาวิชาวรรณคดี กลุ่มวรรณคดีไทย,มหาวิทยาลัยเกษตรศาสตร์,270,20,20,"20,896.2500","19,818.9000","20,103.2300",267.2862
0088,คณะมนุษยศาสตร์ สาขาวิชาวรรณคดี กลุ่มวรรณคดีอังกฤษ,มหาวิทยาลัยเกษตรศาสตร์,125,25,25,"23,027.5000","20,296.6000","21,714.2960",594.0124
0089,คณะมนุษยศาสตร์ สาขาวิชาการท่องเที่ยว เลือกสอบวิชาภาษาฝรั่งเศส,มหาวิทยาลัยเกษตรศาสตร์,63,70,10,"18,966.4000","16,794.6000","17,747.8000",742.6417
0090,คณะมนุษยศาสตร์ สาขาวิชาการท่องเที่ยว เลือกสอบวิชาภาษาเยอรมัน,มหาวิทยาลัยเกษตรศาสตร์,18,0,6,"18,672.8500","16,828.8000","17,499.6917",786.4003
0091,คณะมนุษยศาสตร์ สาขาวิชาการท่องเที่ยว เลือกสอบวิชาภาษาญี่ปุ่น,มหาวิทยาลัยเกษตรศาสตร์,71,0,15,"20,598.8000","16,975.8500","18,424.7900","1,104.2102"
0092,คณะมนุษยศาสตร์ สาขาวิชาการท่องเที่ยว เลือกสอบวิชาภาษาจีน,มหาวิทยาลัยเกษตรศาสตร์,137,0,39,"21,445.3500","16,828.2500","18,209.5487","1,185.3223"
0093,คณะมนุษยศาสตร์ สาขาวิชาสื่อสารมวลชน,มหาวิทยาลัยเกษตรศาสตร์,371,20,20,"20,021.2500","17,773.1000","18,309.8950",491.8759
0094,คณะมนุษยศาสตร์ สาขาวิชาสื่อสารมวลชน รูปแบบที่ 1,มหาวิทยาลัยเกษตรศาสตร์,444,10,10,"23,983.5500","22,610.7000","22,924.5550",397.5532
0095,คณะมนุษยศาสตร์ สาขาวิชาสื่อสารมวลชน รูปแบบที่ 2 เลือกสอบวิชาภาษาฝรั่งเศส,มหาวิทยาลัยเกษตรศาสตร์,33,20,1,"17,822.4500","17,822.4500","17,822.4500",0.0000
0096,คณะมนุษยศาสตร์ สาขาวิชาสื่อสารมวลชน รูปแบบที่ 2 เลือกสอบวิชาภาษาเยอรมัน,มหาวิทยาลัยเกษตรศาสตร์,10,0,0,0.0000,0.0000,0.0000,0.0000
0097,คณะมนุษยศาสตร์ สาขาวิชาสื่อสารมวลชน รูปแบบที่ 2 เลือกสอบวิชาภาษาญี่ปุ่น,มหาวิทยาลัยเกษตรศาสตร์,38,0,6,"19,624.3000","18,171.1500","18,879.3583",529.8734
0098,คณะมนุษยศาสตร์ สาขาวิชาสื่อสารมวลชน รูปแบบที่ 2 เลือกสอบวิชาภาษาจีน,มหาวิทยาลัยเกษตรศาสตร์,48,0,4,"19,545.0000","18,419.4500","19,103.4875",484.4877
0099,คณะมนุษยศาสตร์ สาขาวิชาสื่อสารมวลชน รูปแบบที่ 2 เลือกสอบวิชาภาษาอาหรับ,มหาวิทยาลัยเกษตรศาสตร์,17,0,0,0.0000,0.0000,0.0000,0.0000
0100,คณะมนุษยศาสตร์ สาขาวิชาสื่อสารมวลชน รูปแบบที่ 2 เลือกสอบวิชาภาษาบาลี,มหาวิทยาลัยเกษตรศาสตร์,115,0,9,"19,132.6000","17,794.6500","18,229.5000",415.9836
0101,คณะมนุษยศาสตร์ สาขาวิชาภาษาอังกฤษ ภาคพิเศษ,มหาวิทยาลัยเกษตรศาสตร์,645,120,120,"23,336.2500","21,084.4500","21,784.8254",510.9533
0102,คณะมนุษยศาสตร์ สาขาวิชาภาษาตะวันออก กลุ่มวิชาภาษาจีนธุรกิจ ภาคพิเศษ,มหาวิทยาลัยเกษตรศาสตร์,255,40,40,"21,629.6000","19,946.6500","20,499.6388",389.5795
0103,คณะมนุษยศาสตร์ สาขาวิชาภาษาตะวันออก กลุ่มวิชาภาษาญี่ปุ่นธุรกิจ ภาคพิเศษ,มหาวิทยาลัยเกษตรศาสตร์,308,40,40,"23,216.1500","20,094.3000","21,043.6563",796.4916
0104,คณะวนศาสตร์ สาขาวิชาวนศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,466,100,100,"16,520.4500","13,588.2000","14,488.3120",692.0304
0105,คณะวนศาสตร์ สาขาวิชาวิทยาศาสตร์และเทคโนโลยีทางไม้,มหาวิทยาลัยเกษตรศาสตร์,73,25,25,"15,112.6000","12,787.5000","13,818.7520",739.8420
0106,คณะวนศาสตร์ สาขาวิชาเทคโนโลยีเยื่อและกระดาษ,มหาวิทยาลัยเกษตรศาสตร์,56,25,25,"16,773.4000","12,641.4000","14,101.7160","1,159.2280"
0107,คณะวิทยาศาสตร์ สาขาวิชาคณิตศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,131,26,26,"16,905.3000","15,094.7500","15,788.4038",469.1477
0108,คณะวิทยาศาสตร์ สาขาวิชาเคมี,มหาวิทยาลัยเกษตรศาสตร์,216,35,35,"18,038.6500","15,908.2000","16,333.8629",465.6570
0109,คณะวิทยาศาสตร์ สาขาวิชาเคมีอุตสาหกรรม,มหาวิทยาลัยเกษตรศาสตร์,136,20,20,"17,534.6500","15,705.7000","16,240.4300",477.2038
0110,คณะวิทยาศาสตร์ สาขาวิชาชีววิทยา,มหาวิทยาลัยเกษตรศาสตร์,620,40,40,"16,920.1000","15,436.7500","15,860.3900",406.0621
0111,คณะวิทยาศาสตร์ สาขาวิชาสัตววิทยา,มหาวิทยาลัยเกษตรศาสตร์,295,40,40,"16,688.8500","14,494.6500","15,097.4475",567.8069
0112,คณะวิทยาศาสตร์ สาขาวิชาพฤกษศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,132,30,30,"15,979.3500","13,642.6500","14,383.3750",658.7578
0113,คณะวิทยาศาสตร์ สาขาวิชาพันธุศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,111,55,52,"16,540.2500","11,046.5500","14,475.1702","1,253.2080"
0114,คณะวิทยาศาสตร์ สาขาวิชาจุลชีววิทยา,มหาวิทยาลัยเกษตรศาสตร์,262,60,60,"17,565.7500","14,988.1000","15,572.0942",518.8753
0115,คณะวิทยาศาสตร์ สาขาวิชาชีวเคมี,มหาวิทยาลัยเกษตรศาสตร์,274,35,35,"18,062.4000","15,602.8000","16,093.2729",456.7712
0116,คณะวิทยาศาสตร์ สาขาวิชาวิทยาศาสตร์ชีวภาพรังสี,มหาวิทยาลัยเกษตรศาสตร์,190,50,50,"16,379.6000","14,133.2000","14,746.7770",498.8638
0117,คณะวิทยาศาสตร์ สาขาวิชาฟิสิกส์,มหาวิทยาลัยเกษตรศาสตร์,127,40,40,"17,088.2000","13,679.1000","15,139.0588",882.8629
0118,คณะวิทยาศาสตร์ สาขาวิชาวิทยาการคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์,389,65,65,"17,217.6500","15,190.7500","15,892.5423",502.0944
0119,คณะวิทยาศาสตร์ สาขาวิชาสถิติ,มหาวิทยาลัยเกษตรศาสตร์,301,50,50,"16,511.7500","14,693.6500","15,194.5150",429.1859
0120,คณะวิทยาศาสตร์ สาขาวิชาวิทยาศาสตร์พื้นพิภพ,มหาวิทยาลัยเกษตรศาสตร์,224,35,35,"16,669.6500","15,093.2000","15,685.5286",489.0123
0121,คณะวิทยาศาสตร์ สาขาวิชาวิทยาการคอมพิวเตอร์ ภาคพิเศษ,มหาวิทยาลัยเกษตรศาสตร์,146,45,45,"15,955.0500","13,529.6000","14,372.5044",566.4593
0122,คณะวิศวกรรมศาสตร์ (สาขาวิชาวิศวกรรมคอมพิวเตอร์ วิศวกรรมเคมี วิศวกรรมเครื่องกลฯ) กลุ่มวิทยาเขตบางเขน,มหาวิทยาลัยเกษตรศาสตร์,773,176,176,"20,927.0500","18,792.5500","19,483.6085",505.0208
0123,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมการบินและอวกาศ,มหาวิทยาลัยเกษตรศาสตร์,159,31,31,"22,553.3500","19,382.2500","20,133.5774",758.6361
0124,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์,164,21,21,"20,710.7500","19,813.4000","20,160.3929",273.0430
0125,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมเครื่องกล,มหาวิทยาลัยเกษตรศาสตร์,250,18,18,"20,722.3500","19,288.4500","19,957.2944",488.3338
0126,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมไฟฟ้า,มหาวิทยาลัยเกษตรศาสตร์,127,43,43,"20,666.9500","18,544.6500","19,234.0314",547.5827
0127,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต,มหาวิทยาลัยเกษตรศาสตร์,122,27,27,"19,568.0000","17,873.3000","18,497.6148",482.0807
0128,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมโยธา,มหาวิทยาลัยเกษตรศาสตร์,190,41,41,"20,787.5000","18,318.3000","19,006.6402",627.6552
0129,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ,มหาวิทยาลัยเกษตรศาสตร์,107,48,48,"19,422.8500","16,259.0500","17,349.0667",733.8652
0130,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมวัสดุ,มหาวิทยาลัยเกษตรศาสตร์,43,36,32,"18,832.3000","9,987.2000","16,697.2391","2,047.2564"
0131,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมสิ่งแวดล้อม,มหาวิทยาลัยเกษตรศาสตร์,71,28,28,"19,986.2000","15,320.3000","17,734.2821","1,015.8592"
