รหัส,คณะ/สาขา,มหาวิทยาลัย,สมัคร,รับ,ผ่าน,สูงสุด,ต่ำสุด,เฉลี่ย,SD
0001,คณะทันตแพทยศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,238,30,30,"25,714.7500","23,569.9000","24,007.1567",430.0180
0002,คณะเภสัชศาสตร์ สาขาวิชาเภสัชศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,313,100,100,"21,962.1500","19,524.1000","20,328.1035",567.7893
0003,คณะเภสัชศาสตร์ สาขาวิชาการบริบาลทางเภสัชกรรม,จุฬาลงกรณ์มหาวิทยาลัย,391,90,90,"21,207.8000","19,673.3000","20,114.5861",367.5579
0004,คณะสัตวแพทยศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,451,150,150,"23,225.6000","19,924.2500","20,525.8150",490.5852
0005,คณะสหเวชศาสตร์ สาขาวิชาเทคนิคการแพทย์,จุฬาลงกรณ์มหาวิทยาลัย,481,109,109,"21,811.1500","19,304.4500","19,833.4908",481.2220
0006,คณะสหเวชศาสตร์ สาขาวิชากายภาพบำบัด,จุฬาลงกรณ์มหาวิทยาลัย,373,82,83,"20,852.4000","18,871.8000","19,315.3854",460.3035
0007,คณะสหเวชศาสตร์ สาขาวิชาโภชนาการและการกำหนดอาหาร,จุฬาลงกรณ์มหาวิทยาลัย,140,35,35,"21,839.7000","19,171.2500","19,859.1943",694.0756
0008,คณะวิทยาศาสตร์การกีฬา,จุฬาลงกรณ์มหาวิทยาลัย,903,70,70,"20,523.7500","17,416.4000","18,007.5271",506.3295
0009,คณะวิทยาศาสตร์ กลุ่มวิชาวิทยาศาสตร์ชีวภาพ,จุฬาลงกรณ์มหาวิทยาลัย,811,180,180,"19,787.4000","16,610.5000","17,269.6928",583.5973
0010,คณะวิทยาศาสตร์ สาขาวิชาคณิตศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,190,42,42,"17,850.1000","16,509.1500","17,049.2179",380.1863
0011,คณะวิทยาศาสตร์ สาขาวิชาวิทยาการคอมพิวเตอร์,จุฬาลงกรณ์มหาวิทยาลัย,266,50,50,"19,769.3000","17,265.1000","17,888.1830",550.6929
0012,คณะวิทยาศาสตร์ สาขาวิชาเคมี,จุฬาลงกรณ์มหาวิทยาลัย,374,86,86,"19,357.5000","17,165.2500","17,780.8645",462.3756
0013,คณะวิทยาศาสตร์ สาขาวิชาฟิสิกส์,จุฬาลงกรณ์มหาวิทยาลัย,211,23,23,"20,296.2000","16,908.3500","17,602.9152",713.8057
0014,คณะวิทยาศาสตร์ สาขาวิชาเคมีวิศวกรรม,จุฬาลงกรณ์มหาวิทยาลัย,236,50,50,"19,420.5000","18,063.5000","18,556.9330",347.5109
0015,คณะวิทยาศาสตร์ สาขาวิชาธรณีวิทยา,จุฬาลงกรณ์มหาวิทยาลัย,182,20,20,"19,459.4500","18,060.3500","18,625.1325",383.6698
0016,คณะวิทยาศาสตร์ สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,จุฬาลงกรณ์มหาวิทยาลัย,196,56,56,"17,867.5000","16,238.7500","16,832.5018",464.1567
0017,คณะวิทยาศาสตร์ สาขาวิชาวิทยาศาสตร์ทางทะเล,จุฬาลงกรณ์มหาวิทยาลัย,267,35,35,"18,034.6500","16,283.7500","16,744.0714",498.5296
0018,คณะวิทยาศาสตร์ สาขาวิชาวัสดุศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,194,50,50,"18,491.7000","16,697.3000","17,193.7870",419.7769
0019,คณะวิทยาศาสตร์ สาขาวิชาเทคโนโลยีทางภาพและการพิมพ์,จุฬาลงกรณ์มหาวิทยาลัย,206,50,50,"18,066.1500","16,323.0500","16,814.9030",434.9303
0020,คณะวิทยาศาสตร์ สาขาวิชาเทคโนโลยีทางอาหาร,จุฬาลงกรณ์มหาวิทยาลัย,367,65,65,"20,022.0500","17,499.3500","18,031.0431",494.5037
0021,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,896,200,200,"24,152.1500","20,761.4000","21,474.0908",564.9190
0022,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมทรัพยากรธรณี,จุฬาลงกรณ์มหาวิทยาลัย,116,20,20,"20,915.0000","20,020.0000","20,376.0025",252.8531
0023,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมสำรวจ,จุฬาลงกรณ์มหาวิทยาลัย,154,30,30,"20,687.0500","19,724.4500","20,116.6650",284.0360
0024,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาสถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,118,10,10,"23,221.8000","21,301.2500","22,101.6050",584.3655
0025,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาการออกแบบอุตสาหกรรม,จุฬาลงกรณ์มหาวิทยาลัย,98,15,15,"22,157.5000","19,992.5000","20,667.4800",665.8981
0026,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาภูมิสถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,127,20,21,"21,510.5500","19,750.0000","20,240.4400",489.5741
0027,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาสถาปัตยกรรมภายใน,จุฬาลงกรณ์มหาวิทยาลัย,119,16,16,"22,444.4500","20,375.0500","20,943.2094",624.5423
0028,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาสถาปัตยกรรมผังเมือง,จุฬาลงกรณ์มหาวิทยาลัย,92,20,20,"20,264.4500","19,189.4500","19,619.6300",308.5014
0029,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรบัญชีบัณฑิต,จุฬาลงกรณ์มหาวิทยาลัย,489,110,110,"24,082.4000","21,230.4500","21,811.2527",574.9138
0030,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรบริหารธุรกิจบัณฑิต,จุฬาลงกรณ์มหาวิทยาลัย,572,80,80,"22,801.1000","20,534.8500","21,080.6719",564.8263
0031,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรสถิติศาสตรบัณฑิต สาขาวิชาสถิติ,จุฬาลงกรณ์มหาวิทยาลัย,181,30,30,"21,125.6000","19,897.6000","20,260.9067",328.7570
0032,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรสถิติศาสตรบัณฑิต สาขาวิชาการประกันภัย,จุฬาลงกรณ์มหาวิทยาลัย,342,25,25,"25,985.5000","20,386.2000","21,682.6920","1,249.2840"
0033,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรสถิติศาสตรบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศเพื่อธุรกิจ,จุฬาลงกรณ์มหาวิทยาลัย,347,40,40,"20,373.2000","19,099.0000","19,650.4838",358.4129
0034,คณะเศรษฐศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,647,100,100,"23,199.0000","20,200.3000","20,719.2480",549.8522
0035,คณะจิตวิทยา (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,292,50,50,"21,781.3000","18,896.9500","19,493.5900",599.2900
