รหัส,คณะ/สาขา,มหาวิทยาลัย,สมัคร,รับ,ผ่าน,สูงสุด,ต่ำสุด,เฉลี่ย,SD
0001,คณะทันตแพทยศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,394,12,12,23351.0000,22471.0000,22857.4167,236.5162
0002,คณะเภสัชศาสตร์ สาขาวิชาเภสัชกรรมอุตสาหการ*,จุฬาลงกรณ์มหาวิทยาลัย,316,105,105,21417.5000,19551.0000,20144.5436,417.0583
0003,คณะเภสัชศาสตร์ สาขาวิชาการบริบาลทางเภสัชกรรม*,จุฬาลงกรณ์มหาวิทยาลัย,280,95,95,21552.0000,19781.0000,20357.2411,390.1722
0004,คณะสัตวแพทยศาสตร์*,จุฬาลงกรณ์มหาวิทยาลัย,438,120,120,22418.0000,20175.0000,20680.9155,478.5715
0005,คณะสหเวชศาสตร์ สาขาวิชาเทคนิคการแพทย์,จุฬาลงกรณ์มหาวิทยาลัย,396,113,113,21513.0000,18850.0000,19542.0793,474.2482
0006,คณะสหเวชศาสตร์ สาขาวิชากายภาพบำบัด,จุฬาลงกรณ์มหาวิทยาลัย,220,70,70,21278.6200,18701.8000,19299.8049,490.5006
0007,คณะสหเวชศาสตร์ สาขาวิชาโภชนาการและการกำหนดอาหาร,จุฬาลงกรณ์มหาวิทยาลัย,198,42,42,20612.0000,18730.0000,19214.8643,386.6276
0008,คณะสหเวชศาสตร์ สาขาวิชารังสีเทคนิค,จุฬาลงกรณ์มหาวิทยาลัย,180,21,21,20626.0000,19457.0000,19823.0971,328.8485
0009,คณะวิทยาศาสตร์การกีฬา,จุฬาลงกรณ์มหาวิทยาลัย,333,65,65,19113.2000,17153.0000,17785.4006,512.8015
0010,คณะวิทยาศาสตร์ สาขาวิชาคณิตศาสตร์*,จุฬาลงกรณ์มหาวิทยาลัย,98,25,25,18458.0000,16920.0000,17406.3400,397.3664
0011,คณะวิทยาศาสตร์ สาขาวิชาวิทยาการคอมพิวเตอร์*,จุฬาลงกรณ์มหาวิทยาลัย,160,55,55,18669.0000,16273.0000,17080.6796,633.0718
0012,คณะวิทยาศาสตร์ สาขาวิชาเคมี*,จุฬาลงกรณ์มหาวิทยาลัย,252,77,77,19139.0000,16698.2000,17480.8940,547.6386
0013,คณะวิทยาศาสตร์ สาขาวิชาชีววิทยา*,จุฬาลงกรณ์มหาวิทยาลัย,135,30,30,18977.1000,16974.1000,17539.4253,466.0866
0014,คณะวิทยาศาสตร์ สาขาวิชาสัตววิทยา*,จุฬาลงกรณ์มหาวิทยาลัย,225,19,19,16917.0000,16250.7400,16491.1284,204.2737
0015,คณะวิทยาศาสตร์ สาขาวิชาฟิสิกส์*,จุฬาลงกรณ์มหาวิทยาลัย,123,30,30,20245.9400,16692.0000,17642.3813,919.0105
0016,คณะวิทยาศาสตร์ สาขาวิชาพฤกษศาสตร์*,จุฬาลงกรณ์มหาวิทยาลัย,109,17,17,16907.5000,16180.0000,16510.2647,271.7708
0017,คณะวิทยาศาสตร์ สาขาวิชาพันธุศาสตร์*,จุฬาลงกรณ์มหาวิทยาลัย,235,30,30,17587.0000,16453.0000,16846.2333,320.1992
0018,คณะวิทยาศาสตร์ สาขาวิชาเคมีวิศวกรรม*,จุฬาลงกรณ์มหาวิทยาลัย,143,48,48,19282.0000,17645.0000,18270.9675,400.4106
0019,คณะวิทยาศาสตร์ สาขาวิชาธรณีวิทยา*,จุฬาลงกรณ์มหาวิทยาลัย,81,20,20,21322.2000,17747.2000,18430.2000,782.4508
0020,คณะวิทยาศาสตร์ สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม*,จุฬาลงกรณ์มหาวิทยาลัย,92,36,36,18061.3000,15599.0000,16739.7111,510.6258
0021,คณะวิทยาศาสตร์ สาขาวิชาวิทยาศาสตร์ทางทะเล*,จุฬาลงกรณ์มหาวิทยาลัย,85,30,30,18269.0000,16190.0000,17009.6900,528.6237
0022,คณะวิทยาศาสตร์ สาขาวิชาชีวเคมี*,จุฬาลงกรณ์มหาวิทยาลัย,82,12,12,18878.0000,17513.5000,18124.1500,489.5490
0023,คณะวิทยาศาสตร์ สาขาวิชาวัสดุศาสตร์*,จุฬาลงกรณ์มหาวิทยาลัย,110,73,54,18472.0000,11620.3000,16307.3548,1141.0765
0024,คณะวิทยาศาสตร์ สาขาวิชาจุลชีววิทยา*,จุฬาลงกรณ์มหาวิทยาลัย,229,49,49,17954.0000,16555.0000,17050.2339,416.4765
0025,คณะวิทยาศาสตร์ สาขาวิชาเทคโนโลยีทางภาพและการพิมพ์*,จุฬาลงกรณ์มหาวิทยาลัย,163,44,44,19195.0000,16073.1000,16855.7441,671.7945
0026,คณะวิทยาศาสตร์ สาขาวิชาเทคโนโลยีทางอาหาร*,จุฬาลงกรณ์มหาวิทยาลัย,239,74,74,19115.0000,16640.5000,17472.1773,597.8931
0027,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,914,260,260,23866.0000,20322.0000,21043.8902,569.7924
0028,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมทรัพยากรธรณี,จุฬาลงกรณ์มหาวิทยาลัย,109,15,15,20286.5000,19515.6500,19932.0300,244.5749
0029,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมสำรวจ,จุฬาลงกรณ์มหาวิทยาลัย,162,35,35,20307.0000,19236.0000,19615.9480,285.1084
0030,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาสถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,131,20,20,23026.0000,21345.0000,21912.1500,541.9522
0031,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาการออกแบบอุตสาหกรรม,จุฬาลงกรณ์มหาวิทยาลัย,64,21,21,22924.5000,18654.0000,19991.3524,1165.0401
0032,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาภูมิสถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,142,24,24,22308.4000,20092.0000,20858.7875,625.3127
0033,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาสถาปัตยกรรมภายใน,จุฬาลงกรณ์มหาวิทยาลัย,85,12,12,21455.4000,20488.0000,21007.9250,318.0846
0034,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาสถาปัตยกรรมผังเมือง,จุฬาลงกรณ์มหาวิทยาลัย,135,35,35,20132.0000,18252.2000,19006.6023,507.7389
0035,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรบัญชีบัณฑิต*,จุฬาลงกรณ์มหาวิทยาลัย,377,50,50,25689.0000,21637.5000,22102.7180,610.9113
0036,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรบริหารธุรกิจบัณฑิต*,จุฬาลงกรณ์มหาวิทยาลัย,437,50,50,22885.0000,21032.0000,21442.0876,436.2209
0037,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรสถิติศาสตรบัณฑิต สาขาวิชาสถิติ*,จุฬาลงกรณ์มหาวิทยาลัย,176,30,30,21831.6000,20755.3000,21019.3813,246.0599
0038,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรสถิติศาสตรบัณฑิต สาขาวิชาการประกันภัย*,จุฬาลงกรณ์มหาวิทยาลัย,166,20,20,23798.0000,21484.0000,21958.8650,565.1394
0039,คณะพาณิชยศาสตร์และการบัญชี หลักสูตรสถิติศาสตรบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศเพื่อธุรกิจ*,จุฬาลงกรณ์มหาวิทยาลัย,197,35,35,20888.2000,20178.0000,20457.5629,190.2406
0040,คณะเศรษฐศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,532,65,65,22337.0000,20573.0000,20959.7360,409.9533
0041,คณะจิตวิทยา (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,342,45,45,21366.0000,19871.0000,20327.9556,347.4037
0042,คณะจิตวิทยา (รูปแบบที่ 2),จุฬาลงกรณ์มหาวิทยาลัย,476,45,45,21238.0000,19293.0000,19745.5676,427.2333
0043,คณะจิตวิทยา (รูปแบบที่ 3),จุฬาลงกรณ์มหาวิทยาลัย,188,20,20,25401.0000,23817.0000,24338.1750,451.4103
0044,คณะครุศาสตร์ สาขาวิชาการศึกษาปฐมวัย (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,239,15,15,23342.0000,21427.0000,22000.4133,694.4816
0045,คณะครุศาสตร์ สาขาวิชาประถมศึกษา (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,251,15,15,22947.0000,21852.0000,22341.2827,366.6040
0046,คณะครุศาสตร์ สาขาวิชาธุรกิจศึกษา (รูปแบบที่ 1),จุฬาลงกรณ์มหาวิทยาลัย,164,25,25,22365.0000,21063.0000,21585.2000,369.5380
0047,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาคณิตศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,184,83,11,20978.0000,20061.0000,20617.4251,492.3273
0048,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาวิทยาศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,327,0,43,21448.0000,20070.0000
0049,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาฝรั่งเศส,จุฬาลงกรณ์มหาวิทยาลัย,54,0,3,21774.0000,20191.0000
0050,คณะครุศาสตร์ (รูปแบบที่ 2) เลือกสอบวิชาภาษาเยอรมัน,จุฬาลงกรณ์มหาวิทยาลัย,21,0,6,20602.0000,20080.0000
